Models,rf,bert,gpt2,,Models,rf,bert,gpt2
Batch Size,,8,8,,Batch Size,,32,32
accuracy,0.965,0.989,0.999,,accuracy,0.965,0.969,0.979
precision,0.96548,0.98894514,0.9989678,,precision,0.96548,0.96894514,0.9789678
recall,0.964723,0.98894514,0.9989678,,recall,0.964723,0.96894514,0.9789678
f1,0.96510135,0.98894514,0.9989678,,f1,0.96510135,0.96894514,0.9789678
,,,,,,,,
Models,rf,bert,gpt2,,,,,
Batch Size,,16,16,,,,,
accuracy,0.965,0.979,0.989,,,,,
precision,0.96548,0.97894514,0.9889678,,,,,
recall,0.964723,0.97894514,0.9889678,,,,,
f1,0.96510135,0.97894514,0.9889678,,,,,
